TagName;TagZahl;Monat;Titel;Personen;Ort;Land;EventHash;TimeAppoint;TimeSeen;TimeDeleted
Mon;27;Jan;EVP Vestager receives Ms Kristalina Georgieva, IMF Managing Director;Margrethe Vestager;Brussels;Belgium;f598b745048d64e996242af6081be24d7c492d8e;2020-01-27;1580079600;NA
Mon;27;Jan;HR/VP Borrell Fontelles meets with Members of the Bundestag Committees on European Affairs, Foreign Affairs and Defence; meets with Mr Norbert Röttgen, Chair of the Foreign Affairs Committee of the Bundestag;Josep Borrell Fontelles;Berlin;Germany;1ed16c4e98f6578b5e99f6a7c5a3150280f76f57;2020-01-27;1580079600;NA
Mon;27;Jan;HR/VP Borrell Fontelles meets with Mr Heiko Maas, Minister of Foreign Affairs of Germany; meets with Ms Annegret Kramp-Karrenbauer, Minister of Defence of Germany; meets with Mr Wolfgang Schäuble, President of the Bundestag;Josep Borrell Fontelles;Berlin;Germany;ec58484f624f318e37fde1b59fc6d10f598dd019;2020-01-27;1580079600;NA
Mon;27;Jan;HR/VP Borrell Fontelles meets with representatives from Berlin-based think-tanks;Josep Borrell Fontelles;Berlin;Germany;8b21c5686c1866c87252e8511db5dbb39283d2f6;2020-01-27;1580079600;NA
Mon;27;Jan;Maroš Šefčovič receives Mr Laszlo Andor, Secretary General of the Foundation for European Progressive Studies (FEPS).;Maroš Šefčovič;NA;NA;c00239738241c7a0c46921d10832b31dad87cf94;2020-01-27;1580079600;NA
Mon;27;Jan;Maroš Šefčovič receives Ms Kristalina Georgieva, Managing Director of the International Monetary Fund (IMF).;Maroš Šefčovič;NA;NA;9af7954c871cb11e438d0466cf28476672a9d6f9;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Kyriakides attends the Agriculture and Fisheries Council;Stella Kyriakides;NA;NA;8a67b88ecb3868c94cf3323906ee2da4912fdba3;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Kyriakides receives United States Secretary of Agriculture, Mr. Sonny Perdue;Stella Kyriakides;NA;NA;81be38200b0c26cd4b718e770314b8f885518a10;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Várhelyi receives Mr Denis Zvizdić, Chairman of the Council of Ministers of Bosnia and Herzegovina and Mr Dragan Čović, Chairman of the House of Peoples of Bosnia and Herzegovina;Olivér Várhelyi;Brussels;Belgium;958c48d44ceff26bb8cc6a776f9efce2f6ec3101;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Várhelyi receives Mr Filippo Grandi, United Nations High Commissioner for Refugees (UNHCR);Olivér Várhelyi;Brussels;Belgium;9db08fb90278140b8c09866191e9d0c3779e2f64;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Várhelyi receives Ms Henrietta Fore, Executive Director of UNICEF;Olivér Várhelyi;Brussels;Belgium;0aeb9ff69769407dfa6cd97727e5c3058eb8fe5b;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Urpilainen receives Ms Alice Albright, Chief Executive Officer of Global Partnership for Education and Mr Serigne Mbaye Thiam, Vice Chair of Global Partnership for Education;Jutta Urpilainen;Brussels;Belgium;4b8d8ce2527c7c743f86f8a3c2569c9597bba317;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Urpilainen receives Ms Henrietta Fore, Executive Director of UNICEF;Jutta Urpilainen;Brussels;Belgium;1c3d426eb2ceb9deab0453fdba253bd50bdb7ef9;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Simson attends Roundtable meeting with representatives of EU distribution system operation organizations (E.DSO, CEDEC, GEODE, Eurelectric) ;Kadri Simson;Brussels;Belgium;79af581d9b76fd98f19fd58206198c7bf7b2fe65;2020-01-27;1580079600;NA
Mon;27;Jan;Commissioner Simson receives Mr Pierrre Heilbronn, Vice-President for Policy and Partnerships, European Bank for Reconstruction and Development (EBRD);Kadri Simson;Brussels;Belgium;d09ee7cdd6f0723451e0ac24dd782abf0830d46b;2020-01-27;1580079600;NA
Mon;27;Jan;"HR/VP Borrell Fontelles meets with Members of the Bundestag Committees on European Affairs, Foreign Affairs and Defence; meets with Mr Norbert Röttgen, Chair of the Foreign Affairs Committee of the Bundestag";Josep Borrell Fontelles;Berlin;Germany;1ed16c4e98f6578b5e99f6a7c5a3150280f76f57;2020-01-27 00:00:00;1579971266.169259;NA
Mon;27;Jan;"HR/VP Borrell Fontelles meets with Mr Heiko Maas, Minister of Foreign Affairs of Germany; meets with Ms Annegret Kramp-Karrenbauer, Minister of Defence of Germany; meets with Mr Wolfgang Schäuble, President of the Bundestag";Josep Borrell Fontelles;Berlin;Germany;ec58484f624f318e37fde1b59fc6d10f598dd019;2020-01-27 00:00:00;1579971266.174672;NA
